a,b,c
1908,ARG,0
1908,CUB,0
1908,URY,0
1908,POL,0
1908,CZE,0
1908,NER,0
1908,BRA,0
1908,AUT,1
1908,LTU,0
1908,IDN,0
1908,CHL,0
1908,UKR,0
1908,UGA,0
1908,SYR,0
1908,QAT,0
1908,KUW,0
1908,SSD,0
1908,SAU,0
1908,ARE,0
1908,HRV,0
1908,DEU,0
1908,ARM,0
1908,SRB,0
1908,NGA,0
1908,IND,0
1908,BEL,33
1908,DZA,0
1908,JAM,0
1908,TTO,0
1908,COL,0
1908,LUX,0
1908,BWA,0
1908,TUN,0
1908,KOR,0
1908,PRK,0
1908,CHN,0
1908,BIH,0
1908,GUY,0
1908,ISR,0
1908,KAZ,0
1908,GEO,0
1908,KEN,0
1908,ISL,0
1908,HTI,0
1908,MYS,0
1908,IRQ,0
1908,CZE,0
1908,SVK,0
1908,BHS,0
1908,AUS,19
1908,PRY,0
1908,MNE,0
1908,IRL,0
1908,PRT,0
1908,GTM,0
1908,SRB,0
1908,TZA,0
1908,LBN,0
1908,KGZ,0
1908,LVA,0
1908,NLD,0
1908,VEN,0
1908,THA,0
1908,TGO,0
1908,PER,0
1908,EST,0
1908,SVN,0
1908,NPL,0
1908,CHN,0
1908,ZWE,0
1908,MNG,0
1908,MDA,0
1908,CIV,0
1908,FJI,0
1908,SEN,0
1908,DOM,0
1908,PHL,0
1908,EGY,0
1908,SGP,0
1908,NAM,0
1908,LIE,0
1908,WIF,0
1908,AUT,6
1908,BMU,0
1908,VNM,0
1908,VGB,0
1908,MKD,0
1908,SDN,0
1908,BHR,0
1908,GRD,0
1908,LKA,0
1908,MUS,0
1908,SRB,0
1908,HKG,0
1908,CYP,0
1908,PAN,0
1908,ZMB,0
1908,MCO,0
1908,MOZ,0
1908,SUR,0
1908,AFG,0
1908,BDI,0
1908,GAB,0
1908,ECU,0
1908,CRI,0
1908,DJI,0
1908,ERI,0
1908,BRB,0
1908,TON,0
1912,DNK,87
1912,FIN,71
1912,NOR,80
1912,NLD,26
1912,FRA,26
1912,ITA,25
1912,ESP,0
1912,AZE,0
1912,RUS,14
1912,BLR,0
1912,CMR,0
1912,USA,107
1912,HUN,30
1912,GRC,2
1912,AUS,0
1912,IRN,0
1912,CAN,8
1912,PAK,0
1912,RUS,0
1912,UZB,0
1912,TJK,0
1912,RUS,0
1912,JPN,0
1912,ETH,0
1912,CHE,2
1912,DEU,0
1912,SWE,190
1912,ZAF,7
1912,TUR,0
1912,BGR,0
1912,EGY,0
1912,GBR,170
1912,JOR,0
1912,ROU,0
1912,PRI,0
1912,MEX,0
1912,GHA,0
1912,MAR,0
1912,NZL,0
1912,DEU,53
1912,ARG,0
1912,CUB,0
1912,URY,0
1912,POL,0
1912,CZE,0
1912,NER,0
1912,BRA,0
1912,AUT,14
1912,LTU,0
1912,IDN,0
1912,CHL,0
1912,UKR,0
1912,UGA,0
1912,SYR,0
1912,QAT,0
1912,KUW,0
1912,SSD,0
1912,SAU,0
1912,ARE,0
1912,HRV,0
1912,DEU,0
1912,ARM,0
1912,SRB,0
1912,NGA,0
1912,IND,0
1912,BEL,19
1912,DZA,0
1912,JAM,0
1912,TTO,0
1912,COL,0
1912,LUX,0
1912,BWA,0
1912,TUN,0
1912,KOR,0
1912,PRK,0
1912,CHN,0
1912,BIH,0
1912,GUY,0
1912,ISR,0
1912,KAZ,0
1912,GEO,0
1912,KEN,0
1912,ISL,0
1912,HTI,0
1912,MYS,0
1912,IRQ,0
1912,CZE,0
1912,SVK,0
1912,BHS,0
1912,AUS,10
1912,PRY,0
1912,MNE,0
1912,IRL,0
1912,PRT,0
1912,GTM,0
1912,SRB,0
1912,TZA,0
1912,LBN,0
1912,KGZ,0
1912,LVA,0
1912,NLD,0
1912,VEN,0
1912,THA,0
1912,TGO,0
1912,PER,0
1912,EST,0
1912,SVN,0
1912,NPL,0
1912,CHN,0
1912,ZWE,0
1912,MNG,0
1912,MDA,0
1912,CIV,0
1912,FJI,0
1912,SEN,0
1912,DOM,0
1912,PHL,0
1912,EGY,0
1912,SGP,0
1912,NAM,0
1912,LIE,0
1912,WIF,0
1912,AUT,0
1912,BMU,0
1912,VNM,0
1912,VGB,0
1912,MKD,0
1912,SDN,0
1912,BHR,0
1912,GRD,0
1912,LKA,0
1912,MUS,0
1912,SRB,0
1912,HKG,0
1912,CYP,0
1912,PAN,0
1912,ZMB,0
1912,MCO,0
1912,MOZ,0
1912,SUR,0
1912,AFG,0
1912,BDI,0
1912,GAB,0
1912,ECU,0
1912,CRI,0
1912,DJI,0
1912,ERI,0
1912,BRB,0
1912,TON,0
1916,DNK,0
1916,FIN,0
1916,NOR,0
1916,NLD,0
1916,FRA,0
1916,ITA,0
1916,ESP,0
1916,AZE,0
1916,RUS,0
1916,BLR,0
1916,CMR,0
1916,USA,0
1916,HUN,0
1916,GRC,0
1916,AUS,0
1916,IRN,0
1916,CAN,0
1916,PAK,0
1916,RUS,0
1916,UZB,0
1916,TJK,0
1916,RUS,0
1916,JPN,0
1916,ETH,0
1916,CHE,0
1916,DEU,0
1916,SWE,0
1916,ZAF,0
1916,TUR,0
1916,BGR,0
1916,EGY,0
1916,GBR,0
1916,JOR,0
1916,ROU,0
1916,PRI,0
1916,MEX,0
1916,GHA,0
1916,MAR,0
1916,NZL,0
1916,DEU,0
1916,ARG,0
1916,CUB,0
1916,URY,0
1916,POL,0
1916,CZE,0
1916,NER,0
1916,BRA,0
1916,AUT,0
1916,LTU,0
1916,IDN,0
1916,CHL,0
1916,UKR,0
1916,UGA,0
1916,SYR,0
1916,QAT,0
1916,KUW,0
1916,SSD,0
1916,SAU,0
1916,ARE,0
1916,HRV,0
1916,DEU,0
1916,ARM,0
1916,SRB,0
1916,NGA,0
1916,IND,0
1916,BEL,0
1916,DZA,0
1916,JAM,0
1916,TTO,0
1916,COL,0
1916,LUX,0
1916,BWA,0
1916,TUN,0
1916,KOR,0
1916,PRK,0
1916,CHN,0
1916,BIH,0
1916,GUY,0
1916,ISR,0
1916,KAZ,0
1916,GEO,0
1916,KEN,0
1916,ISL,0
1916,HTI,0
1916,MYS,0
1916,IRQ,0
1916,CZE,0
1916,SVK,0
1916,BHS,0
1916,AUS,0
1916,PRY,0
1916,MNE,0
1916,IRL,0
1916,PRT,0
1916,GTM,0
1916,SRB,0
1916,TZA,0
1916,LBN,0
1916,KGZ,0
1916,LVA,0
1916,NLD,0
1916,VEN,0
1916,THA,0
1916,TGO,0
1916,PER,0
1916,EST,0
1916,SVN,0
1916,NPL,0
1916,CHN,0
1916,ZWE,0
1916,MNG,0
1916,MDA,0
1916,CIV,0
1916,FJI,0
1916,SEN,0
1916,DOM,0
1916,PHL,0
1916,EGY,0
1916,SGP,0
1916,NAM,0
1916,LIE,0
